Province,Day,Min Price,Max Price,Avg Price,Avg Selling Price
Jawa Tengah,2023-05-25,5550.0000000000000000,5850.0000000000000000,5691.0000000000000000,5680.436361372785
Jawa Tengah,2023-05-26,5550.0000000000000000,6000.0000000000000000,5734.7142857142857143,5755.674435601754
Jawa Tengah,2023-05-27,5550.0000000000000000,6000.0000000000000000,5685.3571428571428571,5730.766577167522
Jawa Tengah,2023-05-29,5550.0000000000000000,5825.0000000000000000,5685.5263157894736842,5702.399156340627
Jawa Tengah,2023-05-30,5550.0000000000000000,6000.0000000000000000,5663.7931034482758621,5696.513793217099
Jawa Tengah,2023-05-31,5550.0000000000000000,5825.0000000000000000,5699.4444444444444444,5683.664525977786
Jawa Tengah,2023-06-03,5550.0000000000000000,5800.0000000000000000,5581.4432989690721649,5580.692875547679
Jawa Tengah,2023-06-05,5550.0000000000000000,5600.0000000000000000,5558.3333333333333333,5559.3375065206055
Jawa Tengah,2023-06-06,5550.0000000000000000,5825.0000000000000000,5778.1250000000000000,5779.178939617084
Jawa Tengah,2023-06-07,5500.0000000000000000,5825.0000000000000000,5612.9629629629629630,5617.504751506329
Jawa Tengah,2023-06-08,5500.0000000000000000,5825.0000000000000000,5535.0000000000000000,5534.896050166528
Jawa Tengah,2023-06-09,5500.0000000000000000,5775.0000000000000000,5561.7187500000000000,5557.665152562457
Jawa Tengah,2023-06-10,5450.0000000000000000,5775.0000000000000000,5537.0000000000000000,5538.299582743177
Jawa Tengah,2023-06-12,5500.0000000000000000,5800.0000000000000000,5568.7500000000000000,5579.252947284833
Jawa Tengah,2023-06-13,4925.0000000000000000,5800.0000000000000000,5380.0000000000000000,5380.6930359651315
Jawa Tengah,2023-06-14,4925.0000000000000000,5650.0000000000000000,5469.5945945945945946,5467.943114898586
Jawa Tengah,2023-06-15,4925.0000000000000000,5950.0000000000000000,5523.8636363636363636,5518.549868290679
Jawa Tengah,2023-06-16,4925.0000000000000000,5750.0000000000000000,5484.5238095238095238,5486.502448746849
Jawa Tengah,2023-06-17,5500.0000000000000000,5650.0000000000000000,5580.7692307692307692,5578.966022977267
Jawa Tengah,2023-06-19,5600.0000000000000000,5650.0000000000000000,5645.0000000000000000,5645.611598229013
Jawa Tengah,2023-06-20,5500.0000000000000000,5650.0000000000000000,5585.7142857142857143,5587.699115044248
Jawa Tengah,2023-06-21,5300.0000000000000000,5650.0000000000000000,5437.5000000000000000,5470.148560817084
Jawa Tengah,2023-06-22,5300.0000000000000000,5600.0000000000000000,5336.3636363636363636,5336.63596530448
Jawa Tengah,2023-06-23,5300.0000000000000000,5950.0000000000000000,5450.0000000000000000,5610.032967729665
Jawa Tengah,2023-06-24,5300.0000000000000000,5950.0000000000000000,5528.5714285714285714,5679.738317757009
Jawa Tengah,2023-06-26,5300.0000000000000000,5450.0000000000000000,5316.6666666666666667,5317.339901477832
Jawa Tengah,2023-06-27,5300.0000000000000000,5650.0000000000000000,5332.1428571428571429,5366.17484562886
Jawa Tengah,2023-06-28,5300.0000000000000000,5550.0000000000000000,5325.0000000000000000,5326.492860233665
Jawa Tengah,2023-06-30,5300.0000000000000000,5650.0000000000000000,5357.1428571428571429,5391.776690570337
Jawa Tengah,2023-07-01,5300.0000000000000000,5300.0000000000000000,5300.0000000000000000,5300.0
Jawa Tengah,2023-07-03,5300.0000000000000000,5550.0000000000000000,5476.4705882352941176,5475.683025145563
Jawa Tengah,2023-07-04,5300.0000000000000000,5800.0000000000000000,5410.0000000000000000,5407.031059435726
Jawa Tengah,2023-07-05,5300.0000000000000000,5550.0000000000000000,5426.4705882352941176,5422.769584139265
Jawa Tengah,2023-07-06,5350.0000000000000000,5800.0000000000000000,5462.1739130434782609,5463.598894087622
Jawa Tengah,2023-07-07,5350.0000000000000000,5690.0000000000000000,5448.9583333333333333,5453.3763948326205
Jawa Tengah,2023-07-08,5350.0000000000000000,5690.0000000000000000,5502.2727272727272727,5503.715055785383
Jawa Tengah,2023-07-10,5350.0000000000000000,5690.0000000000000000,5440.0000000000000000,5439.0217744556385
Jawa Timur,2023-01-02,3950.0000000000000000,4275.0000000000000000,4112.5000000000000000,4199.499642601859
Jawa Timur,2023-01-03,3950,4300.0000000000000000,4166.6666666666666667,4149.923867529501
Jawa Timur,2023-01-04,4300.0000000000000000,4550.0000000000000000,4487.5000000000000000,4491.03577504061
